City,Art,Erotic,History,Planetarium,Science
"Santo Domingo, Dominican Republic",30.76923076923077,0.0,61.53846153846154,7.6923076923076925,0.0
"Sarajevo, Bosnia and Herzegovina",16.666666666666664,0.0,83.33333333333334,0.0,0.0
"Singapore, Singapore",24.242424242424242,2.0202020202020203,57.57575757575758,7.07070707070707,9.090909090909092
"Skopje, Macedonia",21.052631578947366,5.263157894736842,42.10526315789473,15.789473684210526,15.789473684210526
"Sofia, Bulgaria",16.666666666666664,4.166666666666666,50.0,12.5,16.666666666666664
"St. George's, Grenada",0.0,0.0,100.0,0.0,0.0
"St. Helier, Jersey",0.0,0.0,100.0,0.0,0.0
"St. John's, Antigua and Barbuda",0.0,0.0,100.0,0.0,0.0
"St. Peter Port, Guernsey",12.5,0.0,87.5,0.0,0.0
"St. Pierre, Saint Pierre and Miquelon",0.0,0.0,100.0,0.0,0.0
"Stanley, Falkland Islands",0.0,0.0,100.0,0.0,0.0
"Sucre, Bolivia",16.666666666666664,0.0,66.66666666666666,0.0,16.666666666666664
"Sukhumi, Abkhazia",0.0,0.0,100.0,0.0,0.0
"Suva, Fiji",0.0,0.0,100.0,0.0,0.0
"Taipei, Republic of China (Taiwan)",29.629629629629626,0.0,57.407407407407405,5.555555555555555,7.4074074074074066
"Tallinn, Estonia",26.82926829268293,0.0,63.41463414634146,0.0,9.75609756097561
"Tbilisi, Georgia",36.84210526315789,0.0,47.368421052631575,5.263157894736842,10.526315789473683
"Tegucigalpa, Honduras",25.0,0.0,50.0,0.0,25.0
"Tehran, Iran",31.25,0.0,56.25,4.6875,7.8125
"The Valley, Anguilla",0.0,0.0,100.0,0.0,0.0
"Thimphu, Bhutan",100.0,0.0,0.0,0.0,0.0
"Tirana, Albania",20.0,0.0,80.0,0.0,0.0
"Tokyo, Japan",35.54216867469879,0.30120481927710846,47.59036144578313,6.325301204819277,10.240963855421686
"Tripoli, Libya",0.0,0.0,100.0,0.0,0.0
"Tórshavn, Faroe Islands",33.33333333333333,0.0,66.66666666666666,0.0,0.0
"Ulaanbaatar, Mongolia",40.0,0.0,26.666666666666668,0.0,33.33333333333333
"Vaduz, Liechtenstein",16.666666666666664,0.0,41.66666666666667,33.33333333333333,8.333333333333332
"Valletta, Malta",27.27272727272727,0.0,72.72727272727273,0.0,0.0
"Victoria, Seychelles",0.0,0.0,100.0,0.0,0.0
"Vienna, Austria",36.17021276595745,0.0,53.191489361702125,5.319148936170213,5.319148936170213
"Vientiane, Laos",37.5,0.0,62.5,0.0,0.0
"Vilnius, Lithuania",21.73913043478261,0.0,52.17391304347826,8.695652173913043,17.391304347826086
"Warsaw, Poland",22.413793103448278,1.7241379310344827,56.896551724137936,6.896551724137931,12.068965517241379
"Wellington, New Zealand",35.714285714285715,0.0,42.857142857142854,7.142857142857142,14.285714285714285
"Willemstad, Curaçao",20.0,0.0,80.0,0.0,0.0
"Windhoek, Namibia",0.0,0.0,100.0,0.0,0.0
"Yerevan, Armenia",31.25,0.0,43.75,0.0,25.0
"Zagreb, Croatia",40.0,0.0,40.0,0.0,20.0
